Date,Open,Close,High,Low,Volume
2017/12/29,192.51,191.96,193.95,191.22,5187606
2018/01/02,196.1,201.07,201.65,195.42,10966889
2018/01/03,202.05,205.05,206.21,201.5,8591369
2018/01/04,206.2,205.63,207.05,204,6029616
2018/01/05,207.25,209.99,210.02,205.59,7033240
2018/01/08,210.02,212.05,212.5,208.44,5580178
2018/01/09,212.11,209.31,212.98,208.59,6125855
2018/01/10,207.57,212.52,213.64,206.91,5951486
2018/01/11,214.29,217.24,217.75,213.35,7659485
2018/01/12,217.18,221.23,222.55,216,8199423
2018/01/16,224.24,221.53,226.07,217.2,13516067
2018/01/17,221,217.5,221.15,216.32,9123056
2018/01/18,220.34,220.33,220.58,216.55,8225339
2018/01/19,222.75,220.46,223.49,218.5,10548567
2018/01/22,222,227.58,227.79,221.2,17703293
2018/01/23,255.05,250.29,257.71,248.02,27705332
2018/01/24,250.88,261.3,261.71,249.31,17352448
2018/01/25,263,269.7,272.3,260.23,15336378
2018/01/26,271.49,274.6,274.6,268.76,11021839
2018/01/29,274.2,284.59,286.81,273.92,17529749
2018/01/30,277,278.8,282.73,272.7,12482852
2018/01/31,281.94,270.3,282.29,269.58,11695072
2018/02/01,266.41,265.07,271.95,263.38,9669011
2018/02/02,263,267.43,270.62,262.71,9123610
2018/02/05,262,254.26,267.9,250.03,11896053
2018/02/06,247.7,265.72,266.7,245,12595801
2018/02/07,266.58,264.56,272.45,264.33,8981548
2018/02/08,267.08,250.1,267.62,250,9306701
2018/02/09,253.85,249.47,255.8,236.11,16906942
2018/02/12,252.14,257.95,259.15,249,8534906
2018/02/13,257.29,258.27,261.41,254.7,6855151
2018/02/14,260.47,266,269.88,260.33,10971985
2018/02/15,270.03,280.27,280.5,267.63,10759667
2018/02/16,278.73,278.52,281.96,275.69,8312380
2018/02/20,277.74,278.55,285.81,276.61,7769023
2018/02/21,282.07,281.04,286.64,280.01,9371121
2018/02/22,283.88,278.14,284.5,274.45,8891535
2018/02/23,281,285.93,286,277.81,7301809
2018/02/26,288.75,294.16,295.65,287.01,10268633
